polygon_id,longitude,latitude,phase_angle,incidence_angle,emission_angle,pixel_x,pixel_y,brightness_temperature,local_solar_time,local_solar_time_normal_vector
4013,91.014,75.228,11.086,78.479,77.655,182,47,294.54,17.58,14.316
4014,89.334,75.708,11.128,81.412,79.179,181,47,294.63,17.468,15.547
4015,90.791,76.499,11.165,86.746,86.907,181,46,274.82,17.565,13.91
4016,88.474,76.973,11.211,83.213,84.574,180,46,284.41,17.411,12.144
4017,89.763,77.788,11.251,81.723,82.445,179,46,291.94,17.496,12.968
4018,87.392,78.262,11.296,79.216,80.911,178,46,283.62,17.338,11.954
4019,87.255,79.138,11.349,78.453,79.825,177,46,279.48,17.329,12.31
4020,89.806,79.543,11.357,74.925,76.082,177,46,279.48,17.499,12.578
4021,89.859,80.429,11.41,74.19,75.013,176,46,284.44,17.503,12.857
4022,87.183,80.901,11.453,67.741,71.484,175,46,276.63,17.324,11.079
4023,89.174,81.733,11.492,64.657,67.147,174,46,272.21,17.457,11.933
4024,86.464,82.185,11.533,57.873,63.762,173,47,308.55,17.277,10.646
4025,87.246,82.972,11.576,69.162,77.426,172,47,274.56,17.329,8.969
4026,90.44,83.344,11.585,53.576,61.492,172,47,274.56,17.542,10.175
4097,88.501,46.441,9.893,95.148,87.896,206,71,272.74,17.413,18.391
4098,89.061,46.966,9.905,93.527,86.211,205,71,285.4,17.45,18.249
4099,88.635,47.955,9.945,92.427,84.654,205,70,267.81,17.421,18.207
4100,89.386,48.467,9.952,93.411,85.662,204,70,278.4,17.471,18.288
4101,89.102,49.446,9.989,93.156,85.315,204,69,270.31,17.453,18.277
4102,89.886,49.939,9.995,91.104,83.22,203,68,274.96,17.505,18.111
4103,89.858,50.894,10.03,93.229,86.131,203,68,274.96,17.503,18.199
4104,88.996,51.365,10.058,93.202,86.107,202,67,271.54,17.445,18.196
4105,89.194,52.284,10.09,91.944,84.373,202,66,278.1,17.459,18.141
4106,88.262,52.729,10.119,88.183,81.126,201,66,272.99,17.396,17.733
4107,88.005,53.661,10.156,86.04,78.176,200,65,267.62,17.379,17.692
4108,88.739,54.144,10.161,87.006,79.188,200,65,267.62,17.428,17.764
4109,88.479,55.03,10.192,83.692,74.812,199,64,266.09,17.411,17.696
